theme,url,img,lines,author
TRUE BEAUTY,/inspirational-quotes/7746-beauty-begins-the-moment-you-decide-to-be,https://assets.passiton.com/quotes/quote_artwork/7746/medium/20240408_monday_quote.jpg,Beauty begins the moment you decide to be yourself.,<Author:0x00007fee76460e30>
CHARITY,/inspirational-quotes/8424-be-good-for-something-while-you-live-and-it-is,https://assets.passiton.com/quotes/quote_artwork/8424/medium/20240405_friday_quote.jpg,Be good for something while you live and it is in your power.,<Author:0x00007fee764c8da0>
CHARITY,/inspirational-quotes/7849-the-unselfish-effort-to-bring-cheer-to-others,https://assets.passiton.com/quotes/quote_artwork/7849/medium/20240404_thursday_quote.jpg,The unselfish effort to bring cheer to others will be the beginning of a happier life for ourselves.,<Author:0x00007fee764aba70>
CHARITY,/inspirational-quotes/8399-as-we-work-to-create-light-for-others-we,https://assets.passiton.com/quotes/quote_artwork/8399/medium/20240403_wednesday_quote.jpg,"As we work to create light for others, we naturally light our own way.",<Author:0x00007fee765022a8>
CHARITY,/inspirational-quotes/8423-you-have-not-lived-today-until-you-have-done,https://assets.passiton.com/quotes/quote_artwork/8423/medium/20240402_tuesday_quote.jpg,You have not lived today until you have done something for someone who can never repay you.,<Author:0x00007fee764e8ba0>
CHARITY,/inspirational-quotes/7630-those-who-are-happiest-are-those-who-do-the,https://assets.passiton.com/quotes/quote_artwork/7630/medium/20240401_monday_quote.jpg,Those who are happiest are those who do the most for others.,<Author:0x00007fee764d0870>
PEACE,/inspirational-quotes/7583-peace-begins-with-a-smile,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20240329_friday_quote.jpg,Peace begins with a smile.,<Author:0x00007fee7652ab68>
PEACE,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20240328_thursday_quote.jpg,Choose love and peace will follow. Choose peace and love will follow.,<Author:0x00007fee76511d20>
PEACE,/inspirational-quotes/7429-peace-like-charity-begins-at-home,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20240327_wednesday_quote.jpg,"Peace, like charity, begins at home.",<Author:0x00007fee76573ae8>
PEACE,/inspirational-quotes/6962-when-we-have-peace-in-our-hearts-and-minds-we,https://assets.passiton.com/quotes/quote_artwork/6962/medium/20240326_tuesday_quote.jpg,"When we have peace in our hearts and minds, we draw peace into our lives.",<Author:0x00007fee7655a8b8>
PEACE,/inspirational-quotes/8311-inner-peace-doesn-t-come-from-getting-what-we,https://assets.passiton.com/quotes/quote_artwork/8311/medium/20240325_monday_quote.jpg,"Inner peace doesn’t come from getting what we want, but from remembering who we are.",<Author:0x00007fee765bab50>
EDUCATION,/inspirational-quotes/7664-one-child-one-teacher-one-book-one-pen-can,https://assets.passiton.com/quotes/quote_artwork/7664/medium/20240322_friday_quote.jpg,"One child, one teacher, one book, one pen can change the world.",<Author:0x00007fee7659b4f8>
EDUCATION,/inspirational-quotes/6436-the-whole-purpose-of-education-is-to-turn,https://assets.passiton.com/quotes/quote_artwork/6436/medium/20240321_thursday_quote.jpg,The whole purpose of education is to turn mirrors into windows.,<Author:0x00007fee76602068>
EDUCATION,/inspirational-quotes/7932-children-must-be-taught-how-to-think-not-what,https://assets.passiton.com/quotes/quote_artwork/7932/medium/20240320_wednesday_quote.jpg,"Children must be taught how to think, not what to think.",<Author:0x00007fee765e3bb8>
EDUCATION,/inspirational-quotes/8267-the-best-teachers-are-those-who-show-you-where,https://assets.passiton.com/quotes/quote_artwork/8267/medium/20240319_tuesday_quote.jpg,The best teachers are those who show you where to look but don’t tell you what to see.,<Author:0x00007fee765c9c90>
EDUCATION,/inspirational-quotes/7665-education-is-not-the-filling-of-a-pail-but-the,https://assets.passiton.com/quotes/quote_artwork/7665/medium/20240318_monday_quote.jpg,"Education is not the filling of a pail, but the lighting of a fire.",<Author:0x00007fee766a3080>
CONFIDENCE,/inspirational-quotes/8188-what-lies-behind-you-and-what-lies-in-front-of,https://assets.passiton.com/quotes/quote_artwork/8188/medium/20240315_friday_quote.jpg,What lies behind you and what lies in front of you pales in comparison to what lies inside you. ,<Author:0x00007fee766111d0>
CONFIDENCE,/inspirational-quotes/6990-every-small-positive-change-we-make-in,https://assets.passiton.com/quotes/quote_artwork/6990/medium/20240314_thursday_quote.jpg,Every small positive change we make in ourselves repays us in confidence in the future.,<Author:0x00007fee766ff6f0>
CONFIDENCE,/inspirational-quotes/8187-live-from-the-heart-of-yourself-seek-to-be,https://assets.passiton.com/quotes/quote_artwork/8187/medium/20240313_wednesday_quote.jpg,"Live from the heart of yourself. Seek to be whole, not perfect.",<Author:0x00007fee766dbd18>
CONFIDENCE,/inspirational-quotes/8391-you-have-no-control-over-other-peoples-taste,https://assets.passiton.com/quotes/quote_artwork/8391/medium/20240312_tuesday_quote.jpg,"You have no control over other people's taste, so focus on staying true to your own.",<Author:0x00007fee76771908>
CONFIDENCE,/inspirational-quotes/6508-confidence-comes-not-from-always-being-right,https://assets.passiton.com/quotes/quote_artwork/6508/medium/20240311_monday_quote.jpg,"Confidence comes not from always being right, but from not fearing to be wrong.",<Author:0x00007fee76731dd0>
COMMON GROUND,/inspirational-quotes/8421-we-all-come-from-different-paths-in-life-but-we,https://assets.passiton.com/quotes/quote_artwork/8421/medium/20240308_friday_quote.jpg,We all come from different paths in life but we can find common ground.,<Author:0x00007fee767c9090>
COMMON GROUND,/inspirational-quotes/3463-we-all-live-with-the-objective-of-being-happy,https://assets.passiton.com/quotes/quote_artwork/3463/medium/20240307_thursday_quote.jpg,We all live with the objective of being happy; our lives are all different and yet the same.,<Author:0x00007fee767b10a8>
COMMON GROUND,/inspirational-quotes/8422-we-must-seek-above-all-a-world-of-peace-a,https://assets.passiton.com/quotes/quote_artwork/8422/medium/20240306_wednesday_quote_alt.jpg,"We must seek, above all, a world of peace; a world in which peoples dwell together in mutual respect and work together in mutual regard.",<Author:0x00007fee76781358>
COMMON GROUND,/inspirational-quotes/8420-by-mutual-respect-understanding-and-with-good,https://assets.passiton.com/quotes/quote_artwork/8420/medium/20240305_tuesday_quote.jpg,"By mutual respect, understanding and with good will we can find acceptable solutions to any problems which exist or may arise between us.",<Author:0x00007fee767fec90>
COMMON GROUND,/inspirational-quotes/7619-we-can-find-common-ground-only-by-moving-to,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20240304_monday_quote.jpg,We can find common ground only by moving to higher ground.,<Author:0x00007fee767d94e0>
DRIVE,/inspirational-quotes/8419-i-shall-either-find-a-way-or-make-one,https://assets.passiton.com/quotes/quote_artwork/8419/medium/20240301_friday_quote.jpg,"I shall either find a way, or make one.",<Author:0x00007fee7691be20>
DRIVE,/inspirational-quotes/6266-act-as-if-what-you-do-makes-a-difference-it,https://assets.passiton.com/quotes/quote_artwork/6266/medium/20240229_thursday_quote.jpg,Act as if what you do makes a difference. It does. ,<Author:0x00007fee76834520>
DRIVE,/inspirational-quotes/6356-obstacles-are-those-frightful-things-you-see,https://assets.passiton.com/quotes/quote_artwork/6356/medium/20240228_wednesday_quote.jpg,Obstacles are those frightful things you see when you take your eyes off the goal. ,<Author:0x00007fee769ae928>
DRIVE,/inspirational-quotes/5801-do-the-one-thing-you-think-you-cannot-do-fail,https://assets.passiton.com/quotes/quote_artwork/5801/medium/20240227_tuesday_quote.jpg,Do the one thing you think you cannot do. Fail at it. Try again. Do better the second time.,<Author:0x00007fee7697fd08>
DRIVE,/inspirational-quotes/8418-ive-always-believed-that-success-for-anyone-is,https://assets.passiton.com/quotes/quote_artwork/8418/medium/20240226_monday_quote.jpg,"I've always believed that success for anyone is all about drive, dedication, and desire, but for me, it's also been about confidence and faith.",<Author:0x00007fee7694d650>
LEADERSHIP,/inspirational-quotes/8417-leaders-are-like-gardeners-as-leaders-we-are,https://assets.passiton.com/quotes/quote_artwork/8417/medium/20240223_friday_quote.jpg,Leaders are like gardeners... As leaders we are not only responsible for harvesting our own success but for cultivating the success of the next generation.,<Author:0x00007fee769e58d8>
LEADERSHIP,/inspirational-quotes/6193-do-not-follow-where-the-path-may-lead-go,https://assets.passiton.com/quotes/quote_artwork/6193/medium/20240222_thursday_quote.jpg,Do not follow where the path may lead. Go instead where there is no path and leave a trail.,<Author:0x00007fee769c4930>
TRUE BEAUTY,/inspirational-quotes/7746-beauty-begins-the-moment-you-decide-to-be,https://assets.passiton.com/quotes/quote_artwork/7746/medium/20240408_monday_quote.jpg,Beauty begins the moment you decide to be yourself.,<Author:0x00007fee76460e30>
CHARITY,/inspirational-quotes/8424-be-good-for-something-while-you-live-and-it-is,https://assets.passiton.com/quotes/quote_artwork/8424/medium/20240405_friday_quote.jpg,Be good for something while you live and it is in your power.,<Author:0x00007fee764c8da0>
CHARITY,/inspirational-quotes/7849-the-unselfish-effort-to-bring-cheer-to-others,https://assets.passiton.com/quotes/quote_artwork/7849/medium/20240404_thursday_quote.jpg,The unselfish effort to bring cheer to others will be the beginning of a happier life for ourselves.,<Author:0x00007fee764aba70>
CHARITY,/inspirational-quotes/8399-as-we-work-to-create-light-for-others-we,https://assets.passiton.com/quotes/quote_artwork/8399/medium/20240403_wednesday_quote.jpg,"As we work to create light for others, we naturally light our own way.",<Author:0x00007fee765022a8>
CHARITY,/inspirational-quotes/8423-you-have-not-lived-today-until-you-have-done,https://assets.passiton.com/quotes/quote_artwork/8423/medium/20240402_tuesday_quote.jpg,You have not lived today until you have done something for someone who can never repay you.,<Author:0x00007fee764e8ba0>
CHARITY,/inspirational-quotes/7630-those-who-are-happiest-are-those-who-do-the,https://assets.passiton.com/quotes/quote_artwork/7630/medium/20240401_monday_quote.jpg,Those who are happiest are those who do the most for others.,<Author:0x00007fee764d0870>
PEACE,/inspirational-quotes/7583-peace-begins-with-a-smile,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20240329_friday_quote.jpg,Peace begins with a smile.,<Author:0x00007fee7652ab68>
PEACE,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20240328_thursday_quote.jpg,Choose love and peace will follow. Choose peace and love will follow.,<Author:0x00007fee76511d20>
PEACE,/inspirational-quotes/7429-peace-like-charity-begins-at-home,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20240327_wednesday_quote.jpg,"Peace, like charity, begins at home.",<Author:0x00007fee76573ae8>
PEACE,/inspirational-quotes/6962-when-we-have-peace-in-our-hearts-and-minds-we,https://assets.passiton.com/quotes/quote_artwork/6962/medium/20240326_tuesday_quote.jpg,"When we have peace in our hearts and minds, we draw peace into our lives.",<Author:0x00007fee7655a8b8>
PEACE,/inspirational-quotes/8311-inner-peace-doesn-t-come-from-getting-what-we,https://assets.passiton.com/quotes/quote_artwork/8311/medium/20240325_monday_quote.jpg,"Inner peace doesn’t come from getting what we want, but from remembering who we are.",<Author:0x00007fee765bab50>
EDUCATION,/inspirational-quotes/7664-one-child-one-teacher-one-book-one-pen-can,https://assets.passiton.com/quotes/quote_artwork/7664/medium/20240322_friday_quote.jpg,"One child, one teacher, one book, one pen can change the world.",<Author:0x00007fee7659b4f8>
EDUCATION,/inspirational-quotes/6436-the-whole-purpose-of-education-is-to-turn,https://assets.passiton.com/quotes/quote_artwork/6436/medium/20240321_thursday_quote.jpg,The whole purpose of education is to turn mirrors into windows.,<Author:0x00007fee76602068>
EDUCATION,/inspirational-quotes/7932-children-must-be-taught-how-to-think-not-what,https://assets.passiton.com/quotes/quote_artwork/7932/medium/20240320_wednesday_quote.jpg,"Children must be taught how to think, not what to think.",<Author:0x00007fee765e3bb8>
EDUCATION,/inspirational-quotes/8267-the-best-teachers-are-those-who-show-you-where,https://assets.passiton.com/quotes/quote_artwork/8267/medium/20240319_tuesday_quote.jpg,The best teachers are those who show you where to look but don’t tell you what to see.,<Author:0x00007fee765c9c90>
EDUCATION,/inspirational-quotes/7665-education-is-not-the-filling-of-a-pail-but-the,https://assets.passiton.com/quotes/quote_artwork/7665/medium/20240318_monday_quote.jpg,"Education is not the filling of a pail, but the lighting of a fire.",<Author:0x00007fee766a3080>
CONFIDENCE,/inspirational-quotes/8188-what-lies-behind-you-and-what-lies-in-front-of,https://assets.passiton.com/quotes/quote_artwork/8188/medium/20240315_friday_quote.jpg,What lies behind you and what lies in front of you pales in comparison to what lies inside you. ,<Author:0x00007fee766111d0>
CONFIDENCE,/inspirational-quotes/6990-every-small-positive-change-we-make-in,https://assets.passiton.com/quotes/quote_artwork/6990/medium/20240314_thursday_quote.jpg,Every small positive change we make in ourselves repays us in confidence in the future.,<Author:0x00007fee766ff6f0>
CONFIDENCE,/inspirational-quotes/8187-live-from-the-heart-of-yourself-seek-to-be,https://assets.passiton.com/quotes/quote_artwork/8187/medium/20240313_wednesday_quote.jpg,"Live from the heart of yourself. Seek to be whole, not perfect.",<Author:0x00007fee766dbd18>
CONFIDENCE,/inspirational-quotes/8391-you-have-no-control-over-other-peoples-taste,https://assets.passiton.com/quotes/quote_artwork/8391/medium/20240312_tuesday_quote.jpg,"You have no control over other people's taste, so focus on staying true to your own.",<Author:0x00007fee76771908>
CONFIDENCE,/inspirational-quotes/6508-confidence-comes-not-from-always-being-right,https://assets.passiton.com/quotes/quote_artwork/6508/medium/20240311_monday_quote.jpg,"Confidence comes not from always being right, but from not fearing to be wrong.",<Author:0x00007fee76731dd0>
COMMON GROUND,/inspirational-quotes/8421-we-all-come-from-different-paths-in-life-but-we,https://assets.passiton.com/quotes/quote_artwork/8421/medium/20240308_friday_quote.jpg,We all come from different paths in life but we can find common ground.,<Author:0x00007fee767c9090>
COMMON GROUND,/inspirational-quotes/3463-we-all-live-with-the-objective-of-being-happy,https://assets.passiton.com/quotes/quote_artwork/3463/medium/20240307_thursday_quote.jpg,We all live with the objective of being happy; our lives are all different and yet the same.,<Author:0x00007fee767b10a8>
COMMON GROUND,/inspirational-quotes/8422-we-must-seek-above-all-a-world-of-peace-a,https://assets.passiton.com/quotes/quote_artwork/8422/medium/20240306_wednesday_quote_alt.jpg,"We must seek, above all, a world of peace; a world in which peoples dwell together in mutual respect and work together in mutual regard.",<Author:0x00007fee76781358>
COMMON GROUND,/inspirational-quotes/8420-by-mutual-respect-understanding-and-with-good,https://assets.passiton.com/quotes/quote_artwork/8420/medium/20240305_tuesday_quote.jpg,"By mutual respect, understanding and with good will we can find acceptable solutions to any problems which exist or may arise between us.",<Author:0x00007fee767fec90>
COMMON GROUND,/inspirational-quotes/7619-we-can-find-common-ground-only-by-moving-to,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20240304_monday_quote.jpg,We can find common ground only by moving to higher ground.,<Author:0x00007fee767d94e0>
DRIVE,/inspirational-quotes/8419-i-shall-either-find-a-way-or-make-one,https://assets.passiton.com/quotes/quote_artwork/8419/medium/20240301_friday_quote.jpg,"I shall either find a way, or make one.",<Author:0x00007fee7691be20>
DRIVE,/inspirational-quotes/6266-act-as-if-what-you-do-makes-a-difference-it,https://assets.passiton.com/quotes/quote_artwork/6266/medium/20240229_thursday_quote.jpg,Act as if what you do makes a difference. It does. ,<Author:0x00007fee76834520>
DRIVE,/inspirational-quotes/6356-obstacles-are-those-frightful-things-you-see,https://assets.passiton.com/quotes/quote_artwork/6356/medium/20240228_wednesday_quote.jpg,Obstacles are those frightful things you see when you take your eyes off the goal. ,<Author:0x00007fee769ae928>
DRIVE,/inspirational-quotes/5801-do-the-one-thing-you-think-you-cannot-do-fail,https://assets.passiton.com/quotes/quote_artwork/5801/medium/20240227_tuesday_quote.jpg,Do the one thing you think you cannot do. Fail at it. Try again. Do better the second time.,<Author:0x00007fee7697fd08>
DRIVE,/inspirational-quotes/8418-ive-always-believed-that-success-for-anyone-is,https://assets.passiton.com/quotes/quote_artwork/8418/medium/20240226_monday_quote.jpg,"I've always believed that success for anyone is all about drive, dedication, and desire, but for me, it's also been about confidence and faith.",<Author:0x00007fee7694d650>
LEADERSHIP,/inspirational-quotes/8417-leaders-are-like-gardeners-as-leaders-we-are,https://assets.passiton.com/quotes/quote_artwork/8417/medium/20240223_friday_quote.jpg,Leaders are like gardeners... As leaders we are not only responsible for harvesting our own success but for cultivating the success of the next generation.,<Author:0x00007fee769e58d8>
LEADERSHIP,/inspirational-quotes/6193-do-not-follow-where-the-path-may-lead-go,https://assets.passiton.com/quotes/quote_artwork/6193/medium/20240222_thursday_quote.jpg,Do not follow where the path may lead. Go instead where there is no path and leave a trail.,<Author:0x00007fee769c4930>
